Id,College Name,Course,DEFOBCS,DEFOPENS,DEFRNT1S,DEFRNT2S,DEFRNT3S,DEFROBCS,DEFRSCS,DEFRVJS,DEFSCS,EWS,GNT1H,GNT1O,GNT1S,GNT2H,GNT2O,GNT2S,GNT3H,GNT3O,GNT3S,GOBCH,GOBCO,GOBCS,GOPENH,GOPENO,GOPENS,GSCH,GSCO,GSCS,GSTH,GSTO,GSTS,GVJH,GVJO,GVJS,LNT1H,LNT1O,LNT1S,LNT2H,LNT2O,LNT2S,LNT3H,LNT3O,LNT3S,LOBCH,LOBCO,LOBCS,LOPENH,LOPENO,LOPENS,LSCH,LSCO,LSCS,LSTH,LSTO,LSTS,LVJH,LVJO,LVJS,MI,ORPHAN,PWDOBCH,PWDOBCS,PWDOPENH,PWDOPENS,PWDRNT1S,PWDRNT2H,PWDRNT2S,PWDROBC,PWDRSCH,PWDRSCS,PWDRVJH,PWDRVJS,PWDSCH,PWDSCS,TFWS
111950710,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Chemical Engineering,,,,,,,,,,,,,,,,,,,,,,,122243,105541,,,,,,,,,,,,,,,,,,,,,,,97339,115213,,,,,,,,,,,,,,,,,,,,,,,,,,,
111961210,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Mechanical Engineering,,,,,,,,,,104736,,,,,,,113015,,,121982,120338,,110537,109290/79506,,117024,,,,,,112648,,,,,,,,,,,,114548,,,113922,113960,,,,,,,,,,,,,,,,,,,,,,,,,,,
112019110,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Civil Engineering,,,,,,,,,,,,,,,,,,,,,,,116756,115624/94698,,,,,,,,,,,,,,,,,,,,,,,105077,106551,,,,,,,,,,,,,,,,,,,,,,,,,,,
112024210,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Computer Science and Engineering,,,,,,,,,,,,,,,,,,,,,,,41012,48392,,,,,,,,,,,,,,,,,,,,,,,38607,35955,,,,,,,,,,,104624,,,,,,,,,,,,,,,,26885
112029310,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Electrical Engineering,,,,,,,,,,,,,,,,,,,,,,,95532,111036/93708,,,,,,,,,,,,,,,,,,,,,,,95084,90655,,,,,,,,,,,,,,,,,,,,,,,,,,,
112037210,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Electronics and Telecommunication Engg,,,,,,,,,,,,,,,,,,,,,,,60186,70316,,,,,,,,,,,,,,,,,,,,,,,54562,87055,,,,,,,,,,,,,,,,,,,,,,,,,,,50881
112050710,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Chemical Engineering,,,,,,,,,,,,,,,,,,,,,,,113573,111254,,,,,,,,,,,,,,,,,,,,,,,104620,98390,,,,,,,,,,,,,,,,,,,,,,,,,,,
112061210,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,,,107712,104493/115224,,,,,,,,,,,,,,,,,,,,,,,113851,111942,,,,,,,,,,,120099,,,,,,,,,,,,,,,,
112089310,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Textile Engineering / Technology,,,,,,,,,,,,,,,,,,,,,,,118786,113003,,,,,,,,,,,,,,,,,,,,,,,110845,102196,,,,,,,,,,,,,,,,,,,,,,,,,,,
112124210,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati",Computer Science and Engineering,,109973,,,,,,,,58774,48589,69641,,49659,61588,,84259,,,46551,52467,,43472,51880,,52722,76617,,,,,44219,,,,,,,,,,,,45730,51372,,38707,43491,,52573,63453,,110735,,,,,,,,,,118959,,,,,,,,,,,,30011
