Id,College Name,Course,DEFOBCS,DEFOPENS,DEFRNT1S,DEFRNT2S,DEFRNT3S,DEFROBCS,DEFRSCS,DEFRVJS,DEFSCS,EWS,GNT1H,GNT1O,GNT1S,GNT2H,GNT2O,GNT2S,GNT3H,GNT3O,GNT3S,GOBCH,GOBCO,GOBCS,GOPENH,GOPENO,GOPENS,GSCH,GSCO,GSCS,GSTH,GSTO,GSTS,GVJH,GVJO,GVJS,LNT1H,LNT1O,LNT1S,LNT2H,LNT2O,LNT2S,LNT3H,LNT3O,LNT3S,LOBCH,LOBCO,LOBCS,LOPENH,LOPENO,LOPENS,LSCH,LSCO,LSCS,LSTH,LSTO,LSTS,LVJH,LVJO,LVJS,MI,ORPHAN,PWDOBCH,PWDOBCS,PWDOPENH,PWDOPENS,PWDRNT1S,PWDRNT2H,PWDRNT2S,PWDROBC,PWDRSCH,PWDRSCS,PWDRVJH,PWDRVJS,PWDSCH,PWDSCS,TFWS
319629310,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Electrical Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95372,,,,,,,,,,,,,,,,,,,,,,,,,,,
319629310,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Electrical Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65419,,,,,,,,,,,,,,,,
319637210,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Electronics and Telecommunication Engg,,,,,,,,,,,,,,,,,,,,,,,54266,,,,,,,,,,,,,,,,,,,,,,,,53840,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319637210,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Electronics and Telecommunication Engg,,,,,,,,,,,,,,,,,,,,,,,,87304,,,,,,,,,,,,,,,,,,,,,,,,78291,,,,,,,,,,,,,,,,,,,,,,,,,,,
319637210,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Electronics and Telecommunication Engg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116765,,,,,,,,,,,,,,,,37316
319661210,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,,,115379,,,,,,,,,,,,,,,,,,,,,,,,114197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319661210,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,,,,110989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319661210,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,,,,99067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319661210,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95497,,,,,,,,,,,,,,,,
319691110,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Computer Science and Engineering(Artificial Intelligence and Machine Learning),,,,,,,,,,,,,,,,,,,,,,,36159,,,,,,,,,,,,,,,,,,,,,,,,32645,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319691110,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Computer Science and Engineering(Artificial Intelligence and Machine Learning),,,,,,,,,,,,,,,,,,,,,,,,54533,,,,,,,,,,,,,,,,,,,,,,,,70914,,,,,,,,,,,,,,,,,,,,,,,,,,,
319691110,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Computer Science and Engineering(Artificial Intelligence and Machine Learning),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69454,,,,,,,,,,,,,,,,23792
319691210,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Computer Science and Engineering(Data Science),,,,,,,,,,,,,,,,,,,,,,,32875,,,,,,,,,,,,,,,,,,,,,,,,33471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319691210,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Computer Science and Engineering(Data Science),,,,,,,,,,,,,,,,,,,,,,,,50814,,,,,,,,,,,,,,,,,,,,,,,,59072,,,,,,,,,,,,,,,,,,,,,,,,,,,
319691210,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Computer Science and Engineering(Data Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63915,,,,,,,,,,,,,,,,24643
319692010,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,,,,,,,,,,,,,,,,,,,,,,,39753,,,,,,,,,,,,,,,,,,,,,,,,40704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319692010,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,,,,,,,,,,,,,,,,,,,,,,,,65981,,,,,,,,,,,,,,,,,,,,,,,,85302,,,,,,,,,,,,,,,,,,,,,,,,,,,
