Sr. No.,Institute Code,Institute Name,Status,Total Intake
128.0,3503,"Indala College Of Engineering, Bapsai Tal.Kalyan",Un-Aided,360
129.0,3546,Devi Mahalaxmi College of Engineering and Technology,Un-Aided,300
130.0,4004,"Government College of Engineering, Chandrapur",Government,330
131.0,4025,"Government College of Engineering, Nagpur",Government,300
132.0,4104,"Kavi Kulguru Institute of Technology & Science, Ramtek",Un-Aided,390
133.0,4116,"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur","Un-Aided, Autonomous, Linguistic Minority - Hindi",1140
134.0,4118,"Bapurao Deshmukh College of Engineering, Sevagram",Un-Aided,297
135.0,4123,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur ","Un-Aided, Autonomous, Linguistic Minority - Hindi",1440
136.0,4133,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",Un-Aided,360
137.0,4134,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",Un-Aided,360
138.0,4135,"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur",Un-Aided,360
139.0,4136,"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur","Un-Aided, Autonomous, Linguistic Minority - Hindi",360
140.0,4137,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur","Un-Aided, Autonomous, Linguistic Minority - Hindi",540
141.0,4138,"Jaidev Education Society, J D College of Engineering and Management, Nagpur ","Un-Aided, Autonomous, Linguistic Minority - Hindi",600
142.0,4139,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur","Un-Aided, Autonomous, Linguistic Minority - Sindhi",570
143.0,4141,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur",Un-Aided,240
144.0,4142,"G H Raisoni College of Engineering & Management, Nagpur","Un-Aided, Autonomous, Linguistic Minority - Hindi",780
145.0,4143,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara",Un-Aided,270
146.0,4144,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Un-Aided,360
147.0,4145,"Wainganga College of Engineering and Management, Dongargaon, Nagpur","Un-Aided, Autonomous",390
148.0,4147,"K.D.K. College of Engineering, Nagpur","Un-Aided, Autonomous",630
149.0,4151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur","Un-Aided, Autonomous",1020
150.0,4163,Rajiv Gandhi College of Engineering Research & Technology Chandrapur,Un-Aided,510
151.0,4167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur","Un-Aided, Autonomous",1500
152.0,4172,"Anjuman College of Engineering & Technology, Nagpur","Un-Aided, Religious Minority - Muslim",420
153.0,4174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur","Un-Aided, Autonomous, Religious Minority - Christian",720
154.0,4175,"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",Un-Aided,210
155.0,4177,"Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred Road,Nagpur","Un-Aided, Linguistic Minority - Hindi",360
156.0,4181,"Swaminarayan Siddhanta Institute Of Technology, Nagpur",Un-Aided,300
157.0,4188,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",Un-Aided,450
158.0,4190,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Bhadrawati",Un-Aided,270
159.0,4192,"Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur",Un-Aided,300
160.0,4193,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur","Un-Aided, Autonomous, Linguistic Minority - Hindi",360
161.0,4196,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",Un-Aided,360
162.0,4197,"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)",Un-Aided,135
163.0,4285,"V M Institute of Engineering and Technology, Dongargaon, Nagpur",Un-Aided,300
164.0,4302,"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara ",Un-Aided,114
165.0,4304,"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur",Un-Aided,240
166.0,4613,"Suryodaya College of Engineering & Technology, Nagpur","Un-Aided, Autonomous",420
167.0,4648,"R.V. Parankar College of Engineering & Technology, Arvi, Dist Wardha",Un-Aided,180
168.0,4649,"Bajaj Institute of Technology, Wardha","Un-Aided, Linguistic Minority - Hindi",300
169.0,4679,"Karanjekar College of Engineering & Management, Sakoli",Un-Aided,360
170.0,4703,"Somayya Institute of Technology, Chandrapur",Un-Aided,240
171.0,5003,"University Institute of Chemical Technology, North Maharashtra University, Jalgaon ",University Department,120
172.0,5004,"Government College of Engineering, Jalgaon","Government, Autonomous",360
173.0,5103,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule",Un-Aided,570
174.0,5104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon ",Un-Aided,390
175.0,5106,"Khandesh College Education Society's College Of Engineering And Management, Jalgaon",Un-Aided,360
176.0,5108,"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik","Un-Aided, Autonomous",780
177.0,5109,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik","Un-Aided, Autonomous",720
178.0,5121,"K. K. Wagh Institute of Engineering Education and Research, Nashik","Un-Aided, Autonomous",1020
179.0,5124,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon ",Un-Aided,480
180.0,5125,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik",Un-Aided,240
181.0,5130,"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik",Un-Aided,300
182.0,5139,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",Un-Aided,720
183.0,5151,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",Un-Aided,540
184.0,5152,"G H Raisoni College of Engineering and Management, Jalgaon","Un-Aided, Autonomous, Linguistic Minority - Hindi",660
185.0,5160,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon","Un-Aided, Autonomous",720
186.0,5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Un-Aided,600
187.0,5162,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",Un-Aided,960
188.0,5164,"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar","Un-Aided, Linguistic Minority - Gujar",336
189.0,5168,"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",Un-Aided,210
190.0,5169,"Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule",Un-Aided,330
191.0,5170,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal","Un-Aided, Linguistic Minority - Hindi",360
192.0,5171,"Godavari Foundation's Godavari College Of Engineering, Jalgaon",Un-Aided,360
193.0,5172,"R. C. Patel Institute of Technology, Shirpur","Un-Aided, Autonomous, Linguistic Minority - Gujarathi",900
194.0,5173,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar,Chandwad,(Nashik)","Un-Aided, Autonomous, Religious Minority - Jain",390
195.0,5177,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik","Un-Aided, Autonomous",600
196.0,5179,"Vishwabharati Academy's College of Engineering, Ahmednagar",Un-Aided,330
197.0,5181,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",Un-Aided,540
198.0,5182,"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik",Un-Aided,390
199.0,5184,"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar","Un-Aided, Religious Minority - Christian",138
200.0,5244,"MET's Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik",Un-Aided,180
201.0,5249,"Trimurti Shikshan Prasarak Mandal, Trimurti Institute Of Technology, Paladhi Bk, Jalgaon",Un-Aided,120
202.0,5256,"Matoshri Education Soceity, Matoshri Asarabai Polytechnic,Nashik",Un-Aided,120
203.0,5263,"Matoshri Education Soceity, Matoshri Institute Of Technology, Dhanore, Nashik",Un-Aided,180
204.0,5303,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha, ",Un-Aided,360
205.0,5322,"Jamia Institute Of Engineering And Management Studies, Akkalkuwa","Un-Aided, Religious Minority - Muslim",120
206.0,5330,"PUNE VIDYARTHI GRIHAS COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK",Un-Aided,300
207.0,5331,"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",Un-Aided,360
208.0,5365,"Vardhaman Education & Welfare Society, Ahinsa Institute of Technology, Post. Dondaicha, Dhule","Un-Aided, Religious Minority - Jain",180
209.0,5370,"Kedareshwar Gramin Vikas Pratishthan, Samajbhushan Eknathrao Dhakane College, of Engineering, Shevgaon",Un-Aided,300
210.0,5380,"Adsul's Technical Campus, Chas Dist. Ahmednagar",Un-Aided,540
211.0,5381,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",Un-Aided,300
