collegeid,college name,merit number,seat type,percentile
664019110,6640,125453,AI,7.4616793
540837210,5408,125605,AI,7.1040060
342361210,3423,125670,AI,7.0709457
317519110,3175,125759,AI,6.9738420
690137210,6901,125966,AI,6.6563016
322137210,3221,125982,AI,6.6563016
524491610,5244,126009,AI,6.4853556
617719110,6177,126043,AI,6.4853556
414124510,4141,126210,AI,5.8823529
632661210,6326,126492,AI,5.3873489
212719110,2127,126513,AI,5.2699106
322261210,3222,126562,AI,5.2450064
510419110,5104,126592,AI,5.2450064
213384410,2133,126803,AI,4.5783474
628861210,6288,126993,AI,4.2124186
664437210,6644,127069,AI,4.0235666
622361210,6223,127074,AI,4.0235666
676229310,6762,127148,AI,3.6006941
213561210,2135,127199,AI,3.5639711
617761210,6177,127222,AI,3.5639711
516929310,5169,127225,AI,3.5639711
627061210,6270,127278,AI,3.3597312
538261210,5382,127283,AI,3.3597312
318961210,3189,127305,AI,3.3501235
676637210,6766,127368,AI,3.3180507
630492110,6304,127383,AI,3.2892818
112629310,1126,127399,AI,3.2892818
663229310,6632,127400,AI,3.2892818
678019110,6780,127420,AI,3.2788438
663529310,6635,127444,AI,3.2788438
614119110,6141,127496,AI,3.1230540
631719110,6317,127504,AI,3.1230540
664929310,6649,127559,AI,2.7571580
212761210,2127,127573,AI,2.7252476
414461210,4144,127580,AI,2.7252476
629861210,6298,127583,AI,2.7252476
126837210,1268,127616,AI,2.7133624
416319110,4163,127646,AI,2.6528094
631061210,6310,127650,AI,2.6528094
517761210,5177,127707,AI,2.5617998
111650710,1116,127783,AI,2.3888294
415161210,4151,127819,AI,2.3327106
516119110,5161,127821,AI,2.1470211
512429310,5124,127824,AI,2.1470211
213819110,2138,127834,AI,2.1470211
211261210,2112,127837,AI,2.1470211
632619110,6326,127866,AI,2.1378233
518161210,5181,127895,AI,2.0726887
211691110,2116,127971,AI,1.9189866
461319110,4613,127987,AI,1.8390580
321661210,3216,127993,AI,1.8390580
540937210,5409,128015,AI,1.8249748
631919110,6319,128085,AI,1.5182329
533061210,5330,128102,AI,1.4996203
315460210,3154,128120,AI,1.4605095
629329310,6293,128140,AI,1.4547046
113037210,1130,128157,AI,1.4350851
225437210,2254,128253,AI,1.0918372
318761210,3187,128271,AI,1.0849469
322229310,3222,128291,AI,1.0630220
627862510,6278,128501,AI,0.4265605
322492010,3224,128540,AI,0.2529921
679924210,6799,128553,AI,0.2085406
415119110,4151,128572,AI,0.1580686
